X,Y,FID
32.55135,29.94315,ports_harbor.600
135.8311,33.45501,ports_harbor.601
-22.9825,66.0355,ports_harbor.602
-64.1895,10.47,ports_harbor.603
120.2507,14.8346,ports_harbor.604
-34.953,-8.3925,ports_harbor.605
5.99974,53.17982,ports_harbor.606
37.34286,19.1195,ports_harbor.607
22.61666,38.90723,ports_harbor.608
-22.732,65.07401,ports_harbor.609
6.808008,51.14269,ports_harbor.610
18.7265,47.7955,ports_harbor.611
-87.38499,44.8335,ports_harbor.612
13.60129,45.52844,ports_harbor.613
11.17011,58.93687,ports_harbor.614
-3.294506,58.96297,ports_harbor.615
4.583311,51.7172,ports_harbor.616
4.74513,51.90044,ports_harbor.617
12.59312,66.36907,ports_harbor.618
12.5725,48.8925,ports_harbor.619
-80.62199,40.51806,ports_harbor.620
-5.026635,54.90824,ports_harbor.621
10.50465,57.49255,ports_harbor.622
5.563425,52.3159,ports_harbor.623
13.1015,54.305,ports_harbor.624
-6.384151,58.20691,ports_harbor.625
5.2725,59.39232,ports_harbor.626
6.8805,36.901,ports_harbor.627
13.00275,66.34024,ports_harbor.628
18.10615,59.32705,ports_harbor.629
8.227064,40.93847,ports_harbor.630
11.81,58.0775,ports_harbor.631
4.04082,51.82304,ports_harbor.632
6.474235,62.78479,ports_harbor.633
4.777895,51.99797,ports_harbor.634
6.116095,52.79109,ports_harbor.635
6.83791,53.27208,ports_harbor.636
-61.38903,16.22115,ports_harbor.637
23.7005,40.668,ports_harbor.638
5.36632,52.88109,ports_harbor.639
10.04346,58.99815,ports_harbor.640
4.0115,51.589,ports_harbor.641
5.7324,58.9828,ports_harbor.642
16.585,43.18459,ports_harbor.643
11.57044,57.94192,ports_harbor.644
-2.86108,53.28698,ports_harbor.645
-57.86,-51.6875,ports_harbor.646
4.51926,51.61843,ports_harbor.647
4.43326,51.62109,ports_harbor.648
6.9665,52.98249,ports_harbor.649
9.524,53.627,ports_harbor.650
9.48,53.601,ports_harbor.651
-5.475783,50.21028,ports_harbor.652
-84.71201,45.8595,ports_harbor.653
-64.676,32.377,ports_harbor.654
-1.263412,49.58757,ports_harbor.655
-64.93964,18.33223,ports_harbor.656
30.32704,59.91933,ports_harbor.657
-2.199951,47.27805,ports_harbor.658
11.60997,44.88979,ports_harbor.659
-2.961216,58.83183,ports_harbor.660
-63.0915,18.0365,ports_harbor.661
-90.20428,38.60922,ports_harbor.662
-62.71807,17.28948,ports_harbor.663
-52.6971,47.5615,ports_harbor.664
-61.85278,17.1245,ports_harbor.665
-64.8485,18.3345,ports_harbor.666
-61.7515,12.048,ports_harbor.667
-64.75066,17.69334,ports_harbor.668
28.01166,43.22441,ports_harbor.669
6.172,51.836,ports_harbor.670
5.00109,51.6828,ports_harbor.671
-82.698,46.195,ports_harbor.672
8.424325,44.23137,ports_harbor.673
10.833,54.9335,ports_harbor.674
16.45062,43.52395,ports_harbor.675
4.3315,51.84082,ports_harbor.676
7.6935,53.759,ports_harbor.677
23.15545,37.2694,ports_harbor.678
-59.6438,13.2575,ports_harbor.679
20.76203,38.66232,ports_harbor.680
-76.46667,39.21667,ports_harbor.681
5.368555,52.24537,ports_harbor.682
27.69115,42.42285,ports_harbor.683
140.2865,48.9835,ports_harbor.684
28.66445,60.54158,ports_harbor.685
1.68629,52.33025,ports_harbor.686
-89.33842,29.0318,ports_harbor.687
-1.420503,50.89817,ports_harbor.688
0.2941805,51.47023,ports_harbor.689
-86.276,42.405,ports_harbor.690
10.6485,35.8255,ports_harbor.691
21.96519,32.90258,ports_harbor.692
23.05575,37.9168,ports_harbor.693
-48.51816,-0.7417281,ports_harbor.694
24.07476,35.49056,ports_harbor.695
-1.005637,45.92919,ports_harbor.696
19.09785,45.29786,ports_harbor.697
29.04613,59.86962,ports_harbor.698
21.98088,70.63041,ports_harbor.699
-7.3355,62.071,ports_harbor.700
15.4215,68.7035,ports_harbor.701
14.37675,40.63011,ports_harbor.702
49.46667,29.03333,ports_harbor.703
-73.1155,46.0475,ports_harbor.704
13.975,67.136,ports_harbor.705
-64.7,18.38571,ports_harbor.706
119.6305,25.75735,ports_harbor.707
100.5741,7.21898,ports_harbor.708
134.7629,34.76037,ports_harbor.709
140.968,37.8395,ports_harbor.710
14.5715,56.04,ports_harbor.711
-1.106615,50.84346,ports_harbor.712
32.36065,29.64762,ports_harbor.713
56.62371,24.50074,ports_harbor.714
5.676633,53.03158,ports_harbor.715
10.0528,55.822,ports_harbor.716
11.226,58.35525,ports_harbor.717
-5.34,35.7525,ports_harbor.718
3.8355,51.2695,ports_harbor.719
5.082893,60.84682,ports_harbor.720
18.80995,57.7166,ports_harbor.721
4.7729,51.8261,ports_harbor.722
131.396,42.874,ports_harbor.723
10.51325,59.3263,ports_harbor.724
24.53233,38.84276,ports_harbor.725
24.402,57.3145,ports_harbor.726
5.2625,59.146,ports_harbor.727
-6.8845,61.907,ports_harbor.728
23.734,39.12611,ports_harbor.729
11.1545,63.711,ports_harbor.730
11.159,59.179,ports_harbor.731
14.28619,55.47405,ports_harbor.732
